Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Accession	MIM Morbid Description	Ensembl Gene ID	Description	Gene type
RP11-457M11.2	26634611	26637008			ENSG00000233631		3prime_overlapping_ncrna
RP11-457M11.5	26686469	26688192			ENSG00000261584		lincRNA
RP11-557H15.3	134749378	134841723			ENSG00000231971		lincRNA
GUSBP2	26839263	26924333			ENSG00000241549	glucuronidase, beta pseudogene 2 [Source:HGNC Symbol;Acc:18792]	pseudogene
GMNN	24775159	24786327			ENSG00000112312	geminin, DNA replication inhibitor [Source:HGNC Symbol;Acc:17493]	protein_coding
LINC01010	134758854	134825719			ENSG00000236700	long intergenic non-protein coding RNA 1010 [Source:HGNC Symbol;Acc:48978]	lincRNA
ANKS1A	34857042	35059179			ENSG00000064999	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:20961]	protein_coding
RP11-557H15.4	134846452	134980974			ENSG00000232310		lincRNA
PERP	138409642	138428648			ENSG00000112378	PERP, TP53 apoptosis effector [Source:HGNC Symbol;Acc:17637]	protein_coding
RP11-239L20.3	26864731	26866556			ENSG00000243307		pseudogene
ULBP1	150285143	150294846			ENSG00000111981	UL16 binding protein 1 [Source:HGNC Symbol;Acc:14893]	protein_coding
LINC00240	26924771	26991703			ENSG00000224843	long intergenic non-protein coding RNA 240 [Source:HGNC Symbol;Acc:18772]	lincRNA
MIR548U	57254930	57255010			ENSG00000212017	microRNA 548u [Source:HGNC Symbol;Acc:38316]	miRNA
FAM8A6P	134924702	134925836			ENSG00000218772	family with sequence similarity 8, member A6 pseudogene [Source:HGNC Symbol;Acc:16377]	pseudogene
RP1-71H19.2	57358736	57362565			ENSG00000266579		lincRNA
RP11-239L20.6	26968987	26969427			ENSG00000272312		lincRNA
GAPDHP41	57686969	57687949			ENSG00000214566	glyceraldehyde 3 phosphate dehydrogenase pseudogene 41 [Source:HGNC Symbol;Acc:37798]	pseudogene
RP11-557H15.5	134927437	134930575			ENSG00000229722		lincRNA
TRNAI2	26988114	26988226			ENSG00000238621	transfer RNA isoleucine 2 (anticodon UAU) [Source:HGNC Symbol;Acc:34587]	miRNA
CTA-31J9.2	134957627	134963633			ENSG00000227723		lincRNA
VN1R12P	27001214	27002089			ENSG00000220581	vomeronasal 1 receptor 12 pseudogene [Source:HGNC Symbol;Acc:18722]	pseudogene
VN1R13P	27028144	27029028			ENSG00000216762	vomeronasal 1 receptor 13 pseudogene [Source:HGNC Symbol;Acc:18723]	pseudogene
VN1R11P	27051059	27051926			ENSG00000219770	vomeronasal 1 receptor 11 pseudogene [Source:HGNC Symbol;Acc:13551]	pseudogene
RP1-287H17.1	135027198	135028487			ENSG00000236389		lincRNA
RP11-343D24.2	57690895	57691645			ENSG00000231273		lincRNA
RNU2-62P	27077569	27077759			ENSG00000222800	RNA, U2 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:48555]	snRNA
RP1-86C11.7	27090436	27091000			ENSG00000272468		lincRNA
RP3-352A20.1	135219012	135219897			ENSG00000213117		pseudogene
RP11-325M4.2	57793932	57794280			ENSG00000262828		pseudogene
RBBP4P3	57841107	57842388			ENSG00000215307	retinoblastoma binding protein 4 pseudogene 3 [Source:HGNC Symbol;Acc:42370]	pseudogene
MIR3143	27115405	27115467			ENSG00000265565	microRNA 3143 [Source:HGNC Symbol;Acc:38284]	miRNA
RP11-209A2.1	27179023	27179692			ENSG00000174572		pseudogene
RP11-452D24.1	58028201	58028363			ENSG00000270213		pseudogene
RP11-349J5.2	135262530	135263588			ENSG00000240056		antisense
CTA-212D2.2	135376171	135381688			ENSG00000232876		antisense
XXbac-BPGBPG24O18.1	27235892	27237008			ENSG00000270935		pseudogene
XXbac-BPGBPG55C20.1	58182169	58182746			ENSG00000272541		lincRNA
XXbac-BPGBPG55C20.3	58228887	58229426			ENSG00000271761		lincRNA
STXBP5	147525561	147706866			ENSG00000164506	syntaxin binding protein 5 (tomosyn) [Source:HGNC Symbol;Acc:19665]	protein_coding
MYB-AS1	135516221	135517133			ENSG00000236703	MYB antisense RNA 1 [Source:HGNC Symbol;Acc:37457]	antisense
VN1R10P	27292578	27293742			ENSG00000220758	vomeronasal 1 receptor 10 pseudogene [Source:HGNC Symbol;Acc:13550]	pseudogene
BTN3A1	26402465	26415444			ENSG00000026950	butyrophilin, subfamily 3, member A1 [Source:HGNC Symbol;Acc:1138]	protein_coding
XXbac-BPGBPG55C20.2	58234838	58240189			ENSG00000272316		lincRNA
MIR548A2	135560298	135560394			ENSG00000207689	microRNA 548a-2 [Source:HGNC Symbol;Acc:32797]	miRNA
RP1-32B1.4	135581134	135582071			ENSG00000224374		antisense
GUSBP4	58246051	58256569			ENSG00000239650	glucuronidase, beta pseudogene 4 [Source:HGNC Symbol;Acc:18220]	pseudogene
RP3-388E23.2	135622706	135628296			ENSG00000234084		antisense
ZNF204P	27325604	27339304			ENSG00000204789	zinc finger protein 204, pseudogene [Source:HGNC Symbol;Acc:12995]	pseudogene
CLDN20	155585147	155597682			ENSG00000171217	claudin 20 [Source:HGNC Symbol;Acc:2042]	protein_coding
Y_RNA	135795642	135795747			ENSG00000201012	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
CRIP3	43267448	43276535			ENSG00000146215	cysteine-rich protein 3 [Source:HGNC Symbol;Acc:17751]	protein_coding
LINC00271	135818489	136037193			ENSG00000231028	long intergenic non-protein coding RNA 271 [Source:HGNC Symbol;Acc:32526]	lincRNA
POM121L14P	58263736	58265293			ENSG00000218189	POM121 transmembrane nucleoporin-like 14, pseudogene [Source:HGNC Symbol;Acc:44414]	pseudogene
KIAA1244	138483058	138665800			ENSG00000112379	KIAA1244 [Source:HGNC Symbol;Acc:21213]	protein_coding
LINC00680	58272352	58287779			ENSG00000215190	long intergenic non-protein coding RNA 680 [Source:HGNC Symbol;Acc:44417]	processed_transcript
RP1-153G14.4	27371789	27374743			ENSG00000271755		lincRNA
NOX3	155716504	155777037			ENSG00000074771	NADPH oxidase 3 [Source:HGNC Symbol;Acc:7890]	protein_coding
MCFD2P1	27375476	27375775			ENSG00000237154	multiple coagulation factor deficiency 2 pseudogene 1 [Source:HGNC Symbol;Acc:21582]	pseudogene
GAPDHP73	135940303	135941309			ENSG00000226540	glyceraldehyde-3-phosphate dehydrogenase pseudogene 73 [Source:HGNC Symbol;Acc:22956]	pseudogene
RAET1L	150339470	150346668			ENSG00000155918	retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:16798]	protein_coding
XXbac-BPGBPG34I8.1	27482818	27483053			ENSG00000270666		pseudogene
HNRNPA1P1	27490855	27492118			ENSG00000218347	heterogeneous nuclear ribonucleoprotein A1 pseudogene 1 [Source:HGNC Symbol;Acc:13957]	pseudogene
XXbac-BPG34I8.3	27528601	27529523			ENSG00000219738		pseudogene
RP1-38C16.2	135950543	135951406			ENSG00000233534		lincRNA
RNU6-471P	27564191	27564296			ENSG00000206671	RNA, U6 small nuclear 471, pseudogene [Source:HGNC Symbol;Acc:47434]	snRNA
TRNAI6	27599188	27599311			ENSG00000238648	transfer RNA isoleucine 6 (anticodon UAU) [Source:HGNC Symbol;Acc:34693]	miRNA
HMGB1P17	135957224	135957851			ENSG00000217482	high mobility group box 1 pseudogene 17 [Source:HGNC Symbol;Acc:39099]	pseudogene
RP1-15D7.1	27620381	27620604			ENSG00000216676		pseudogene
SLC35B2	44221833	44225291			ENSG00000157593	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2 [Source:HGNC Symbol;Acc:16872]	protein_coding
XXbac-BPG55C20.7	58291908	58298496			ENSG00000225096		lincRNA
GAPDHP15	58293965	58294939			ENSG00000214563	glyceraldehyde-3-phosphate dehydrogenase pseudogene 15 [Source:HGNC Symbol;Acc:13950]	pseudogene
RP1-97D16.1	27704779	27706273			ENSG00000216915		pseudogene
RP11-278J20.2	58397998	58399412			ENSG00000216687		pseudogene
RP11-394G3.2	136128286	136129604			ENSG00000236378		lincRNA
AL360178.1	136235893	136235985			ENSG00000238921		miRNA
RSL24D1P1	27748398	27748890			ENSG00000218069	ribosomal L24 domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:13979]	pseudogene
AL512290.1	136298949	136299041			ENSG00000222121		miRNA
RBBP4P4	58446019	58447307			ENSG00000214561	retinoblastoma binding protein 4 pseudogene 4 [Source:HGNC Symbol;Acc:42371]	pseudogene
COX5BP2	136355169	136356293			ENSG00000213111	cytochrome c oxidase subunit Vb pseudogene 2 [Source:HGNC Symbol;Acc:2271]	pseudogene
HIST1H4PS1	27774853	27775117			ENSG00000217862	histone cluster 1, H4, pseudogene 1 [Source:HGNC Symbol;Acc:4786]	pseudogene
HIST1H2BPS2	27831840	27832179			ENSG00000217646	histone cluster 1, H2b, pseudogene 2 [Source:HGNC Symbol;Acc:4754]	pseudogene
RP13-143G15.3	136364990	136393965			ENSG00000227844		antisense
RNU7-26P	27865282	27865344			ENSG00000238610	RNA, U7 small nuclear 26 pseudogene [Source:HGNC Symbol;Acc:34122]	snRNA
RP11-143A22.1	58488888	58513860			ENSG00000223633		lincRNA
OR2W6P	27905243	27906181			ENSG00000168126	olfactory receptor, family 2, subfamily W, member 6 pseudogene [Source:HGNC Symbol;Acc:15072]	pseudogene
RP1-91N13.1	61996403	61996816			ENSG00000220030		pseudogene
AL356131.1	62056770	62056882			ENSG00000221606		miRNA
RP1-240B8.3	62340138	62390954			ENSG00000250686		3prime_overlapping_ncrna
RP11-448N11.1	63170845	63171408			ENSG00000216859		pseudogene
RPLP2P1	27932953	27933292			ENSG00000214374	ribosomal protein, large P2, pseudogene 1 [Source:HGNC Symbol;Acc:18724]	pseudogene
RP13-143G15.4	136415853	136546733			ENSG00000237596		antisense
OR2W4P	27944928	27945853			ENSG00000216629	olfactory receptor, family 2, subfamily W, member 4 pseudogene [Source:HGNC Symbol;Acc:15071]	pseudogene
RP3-406A7.1	136639099	136639374			ENSG00000216519		pseudogene
RP11-448N11.2	63257332	63258177			ENSG00000217067		pseudogene
IQCB2P	27978501	27980133			ENSG00000217539	IQ motif containing B2 pseudogene [Source:HGNC Symbol;Acc:17727]	pseudogene
RP11-448N11.3	63321058	63321232			ENSG00000262566		pseudogene
RP3-406A7.7	136656852	136657225			ENSG00000260418		lincRNA
AL589736.1	63393083	63393173			ENSG00000216072		miRNA
U3	27983346	27983553			ENSG00000199851	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	snoRNA
AL121931.1	63436740	63436829			ENSG00000264410		miRNA
RP3-406A7.3	136685267	136686217			ENSG00000220660		pseudogene
AL590558.1	63692989	63693075			ENSG00000266682		miRNA
OR2W2P	28001725	28002633			ENSG00000217315	olfactory receptor, family 2, subfamily W, member 2 pseudogene [Source:HGNC Symbol;Acc:13970]	pseudogene
RP11-184C23.1	63902977	63903535			ENSG00000217477		pseudogene
OR2B7P	28014212	28015145			ENSG00000187763	olfactory receptor, family 2, subfamily B, member 7 pseudogene [Source:HGNC Symbol;Acc:13967]	pseudogene
SPTLC1P3	63937390	63937648			ENSG00000219940	serine palmitoyltransferase, long chain base subunit 1 pseudogene 3 [Source:HGNC Symbol;Acc:39670]	pseudogene
RP11-184C23.4	63938992	63940015			ENSG00000218520		pseudogene
RP3-407E4.2	64102127	64102511			ENSG00000218617		pseudogene
RP3-407E4.3	64104912	64107011			ENSG00000218274		pseudogene
RP3-406A7.5	136740985	136741563			ENSG00000216613		pseudogene
OR2B8P	28021006	28021943			ENSG00000182477	olfactory receptor, family 2, subfamily B, member 8 pseudogene [Source:HGNC Symbol;Acc:13968]	pseudogene
RP3-407E4.4	64150671	64153485			ENSG00000218048		pseudogene
EEF1B2P5	64190039	64191781			ENSG00000225121	eukaryotic translation elongation factor 1 beta 2 pseudogene 5 [Source:HGNC Symbol;Acc:32476]	pseudogene
ULBP3	150384286	150390231			ENSG00000131019	UL16 binding protein 3 [Source:HGNC Symbol;Acc:14895]	protein_coding
OR1F12	28041094	28042011			ENSG00000220721	olfactory receptor, family 1, subfamily F, member 12 [Source:HGNC Symbol;Acc:13964]	pseudogene
NDUFS5P1	136797000	136797288			ENSG00000218424	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) pseudogene 1 [Source:HGNC Symbol;Acc:44039]	pseudogene
RPL7AP34	64258613	64259413			ENSG00000213312	ribosomal protein L7a pseudogene 34 [Source:HGNC Symbol;Acc:36778]	pseudogene
RP5-1148A21.3	64280910	64282313			ENSG00000266680		antisense
RP11-164N20.2	64322666	64322808			ENSG00000262651		pseudogene
RP1-313I6.12	28046570	28048908			ENSG00000272009		antisense
RPL9P18	64325732	64326266			ENSG00000213309	ribosomal protein L9 pseudogene 18 [Source:HGNC Symbol;Acc:36954]	pseudogene
7SK	136866330	136866630			ENSG00000271765	7SK RNA [Source:RFAM;Acc:RF00100]	misc_RNA
RP3-325F22.5	136871799	136873692			ENSG00000272189		antisense
RP11-59D5__B.3	64507082	64507924			ENSG00000218813		pseudogene
RP3-325F22.3	136950310	136969137			ENSG00000234263		antisense
RNA5SP219	136951381	136951493			ENSG00000212242	RNA, 5S ribosomal pseudogene 219 [Source:HGNC Symbol;Acc:43119]	rRNA
ZSCAN12P1	28058932	28061442			ENSG00000219891	zinc finger and SCAN domain containing 12 pseudogene 1 [Source:HGNC Symbol;Acc:13850]	pseudogene
SNORA27	137176836	137176969			ENSG00000201807	Small nucleolar RNA SNORA27 [Source:RFAM;Acc:RF00443]	snoRNA
AIG1	143381633	143661441			ENSG00000146416	androgen-induced 1 [Source:HGNC Symbol;Acc:21607]	protein_coding
RP11-55K22.2	137221371	137222667			ENSG00000213109		pseudogene
RP11-59D5__B.2	64516729	64532535			ENSG00000236345		antisense
GCNT1P4	64567334	64567662			ENSG00000219653	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 4 [Source:HGNC Symbol;Acc:37974]	pseudogene
RP1-265C24.5	28083406	28084329			ENSG00000219392		pseudogene
Y_RNA	137255903	137256004			ENSG00000207247	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RPL35AP3	137295067	137295354			ENSG00000230350	ribosomal protein L35a pseudogene 3 [Source:HGNC Symbol;Acc:21117]	pseudogene
RP11-349P19.1	65087688	65122672			ENSG00000232120		antisense
HNRNPDP2	65341098	65341575			ENSG00000217811	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) pseudogene 2 [Source:HGNC Symbol;Acc:48749]	pseudogene
RP11-307F22.2	65438730	65443730			ENSG00000243828		pseudogene
RP11-55K22.5	137303302	137314371			ENSG00000225391		lincRNA
AL109922.1	65684286	65684385			ENSG00000221312		miRNA
RP11-204P2.3	137316307	137320641			ENSG00000235399		antisense
AL109922.2	65720260	65720336			ENSG00000256352		pseudogene
SNORD112	137861537	137861608			ENSG00000252476	Small nucleolar RNA SNORD112 [Source:RFAM;Acc:RF01169]	snoRNA
ZSCAN16-AS1	28089573	28105071			ENSG00000269293	ZSCAN16 antisense RNA 1 [Source:HGNC Symbol;Acc:48982]	antisense
RP11-74E24.2	66011354	66014960			ENSG00000214558		pseudogene
BTF3L4P3	137865034	137865509			ENSG00000213108	basic transcription factor 3-like 4 pseudogene 3 [Source:HGNC Symbol;Acc:39647]	pseudogene
AL109612.1	66176897	66176982			ENSG00000265187		miRNA
SLC25A51P1	66498310	66499180			ENSG00000220483	solute carrier family 25, member 51 pseudogene 1 [Source:HGNC Symbol;Acc:23325]	pseudogene
RP1-265C24.8	28104627	28107456			ENSG00000261839		lincRNA
ADH5P4	66546823	66547947			ENSG00000233859	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4 [Source:HGNC Symbol;Acc:21377]	pseudogene
RP11-95M15.1	137994597	137995691			ENSG00000230533		lincRNA
ZNF192P1	28129559	28137372			ENSG00000226314	zinc finger protein 192 pseudogene 1 [Source:HGNC Symbol;Acc:18777]	pseudogene
RP11-95M15.2	138026560	138028338			ENSG00000220412		pseudogene
NUFIP1P	66803324	66804802			ENSG00000218890	nuclear fragile X mental retardation protein interacting protein 1 pseudogene [Source:HGNC Symbol;Acc:8058]	pseudogene
AC002485.1	67069318	67069392			ENSG00000221281		miRNA
RP11-24C14.1	67420135	67420720			ENSG00000270521		pseudogene
RNU7-66P	67438736	67438797			ENSG00000238949	RNA, U7 small nuclear 66 pseudogene [Source:HGNC Symbol;Acc:34162]	snRNA
AL590874.1	67859402	67859492			ENSG00000266073		miRNA
SNORD65	67920301	67920373			ENSG00000212229	Small nucleolar RNA SNORD65 [Source:RFAM;Acc:RF00571]	snoRNA
AL357060.1	138038085	138038179			ENSG00000216097		miRNA
RP11-409K15.1	68166239	68167143			ENSG00000271111		pseudogene
RP11-356I2.1	138051307	138060120			ENSG00000234956		lincRNA
RNA5SP208	68177124	68177201			ENSG00000251965	RNA, 5S ribosomal pseudogene 208 [Source:HGNC Symbol;Acc:43108]	rRNA
RNU6-280P	68256544	68256647			ENSG00000201015	RNA, U6 small nuclear 280, pseudogene [Source:HGNC Symbol;Acc:47243]	snRNA
Y_RNA	68335249	68335357			ENSG00000206672	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-301G19.1	68597538	68599231			ENSG00000227706		lincRNA
RP11-301G19.2	68643377	68644574			ENSG00000270509		pseudogene
Y_RNA	138105511	138105623			ENSG00000207300	Y RNA [Source:RFAM;Acc:RF00019]	misc_RNA
RP11-542F9.1	68765243	68770394			ENSG00000223504		lincRNA
RP11-356I2.4	138144810	138189370			ENSG00000237499		antisense
RP11-406O16.1	68936864	69039791			ENSG00000226497		lincRNA
AL606923.1	69203331	69203418			ENSG00000266675		miRNA
AL022393.7	28143966	28144452			ENSG00000216901		pseudogene
RP11-361F19.1	69308096	69308285			ENSG00000218834		pseudogene
RP3-525N10.2	69339854	69344919			ENSG00000230910		antisense
BCLAF1	136578001	136610989			ENSG00000029363	BCL2-associated transcription factor 1 [Source:HGNC Symbol;Acc:16863]	protein_coding
ZNF192P2	28155828	28157210			ENSG00000218016	zinc finger protein 192 pseudogene 2 [Source:HGNC Symbol;Acc:42862]	pseudogene
AL158051.1	69924622	69924702			ENSG00000265498		miRNA
AL358133.1	70331265	70331364			ENSG00000265362		miRNA
NPM1P37	70415179	70416052			ENSG00000219085	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 37 [Source:HGNC Symbol;Acc:45216]	pseudogene
RP11-10J5.1	138264216	138266939			ENSG00000226004		lincRNA
RP11-240M16.1	138266503	138293659			ENSG00000229922		lincRNA
GAPDHP42	70455763	70456743			ENSG00000219881	glyceraldehyde 3 phosphate dehydrogenase pseudogene 42 [Source:HGNC Symbol;Acc:37799]	pseudogene
TOB2P1	28185421	28186655			ENSG00000176933	transducer of ERBB2, 2 pseudogene 1 [Source:HGNC Symbol;Acc:13986]	pseudogene
RPSAP42	138316407	138317284			ENSG00000219463	ribosomal protein SA pseudogene 42 [Source:HGNC Symbol;Acc:36265]	pseudogene
RPL37P15	70808282	70808568			ENSG00000216365	ribosomal protein L37 pseudogene 15 [Source:HGNC Symbol;Acc:36659]	pseudogene
RP1-149L1.1	70932461	70951859			ENSG00000253809		antisense
RP11-462G2.1	71104590	71109120			ENSG00000237643		lincRNA
RP3-422G23.3	138714510	138714681			ENSG00000218499		pseudogene
MARCKSL1P2	138723722	138724697			ENSG00000215878	MARCKS-like 1 pseudogene 2 [Source:HGNC Symbol;Acc:45240]	pseudogene
PPP1R14C	150464212	150571493			ENSG00000198729	protein phosphatase 1, regulatory (inhibitor) subunit 14C [Source:HGNC Symbol;Acc:14952]	protein_coding
RP5-874C20.3	28234788	28245974			ENSG00000197062		pseudogene
RP11-462G2.2	71122531	71123653			ENSG00000224349		antisense
MIR3145	138756350	138756431			ENSG00000266555	microRNA 3145 [Source:HGNC Symbol;Acc:38327]	miRNA
RP11-390P2.2	138971363	138972110			ENSG00000216802		pseudogene
RNU7-48P	71222997	71223059			ENSG00000238386	RNA, U7 small nuclear 48 pseudogene [Source:HGNC Symbol;Acc:34144]	snRNA
RP11-134K13.4	71306141	71306683			ENSG00000271967		lincRNA
RP11-134K13.2	71317937	71319037			ENSG00000232389		pseudogene
SLC25A6P6	71373205	71373982			ENSG00000218870	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 6 [Source:HGNC Symbol;Acc:43855]	pseudogene
RP11-390P2.4	139013685	139018425			ENSG00000225177		antisense
ARID1B	157099063	157531913	614562	 MENTAL RETARDATION, AUTOSOMAL DOMINANT 12; MRD12	ENSG00000049618	AT rich interactive domain 1B (SWI1-like) [Source:HGNC Symbol;Acc:18040]	protein_coding
RP3-509I19.1	139143884	139145015			ENSG00000225415		pseudogene
RP11-160A9.3	71403542	71404322			ENSG00000262803		pseudogene
RP11-160A9.2	71444206	71444665			ENSG00000217767		pseudogene
RNU6-427P	139180164	139180270			ENSG00000206856	RNA, U6 small nuclear 427, pseudogene [Source:HGNC Symbol;Acc:47390]	snRNA
RP1-20N4.1	71785267	71786078			ENSG00000219669		pseudogene
RP3-509I19.6	139200036	139200544			ENSG00000220600		pseudogene
U3	71836597	71836808			ENSG00000221345	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	snoRNA
LYPLA1P3	71874779	71875473			ENSG00000218350	lysophospholipase I pseudogene 3 [Source:HGNC Symbol;Acc:44007]	pseudogene
RNU6-411P	71892315	71892421			ENSG00000207180	RNA, U6 small nuclear 411, pseudogene [Source:HGNC Symbol;Acc:47374]	snRNA
PBOV1	138537129	138539627			ENSG00000254440	prostate and breast cancer overexpressed 1 [Source:HGNC Symbol;Acc:21079]	protein_coding
RP1-225E12.2	139465341	139560442			ENSG00000231329		antisense
RP11-154D6.1	71931160	72037931			ENSG00000232295		antisense
RP1-225E12.3	139480294	139566661			ENSG00000272446		processed_transcript
RP5-874C20.6	28287437	28287629			ENSG00000270326		pseudogene
RP11-445F6.2	139592499	139608444			ENSG00000226571		antisense
RNU2-45P	28378047	28378233			ENSG00000251877	RNA, U2 small nuclear 45, pseudogene [Source:HGNC Symbol;Acc:48538]	snRNA
COX11P1	28414750	28415584			ENSG00000231162	COX11 cytochrome c oxidase assembly homolog (yeast) pseudogene 1 [Source:HGNC Symbol;Acc:2262]	pseudogene
OR2E1P	28423425	28423918			ENSG00000219262	olfactory receptor, family 2, subfamily E, member 1 pseudogene [Source:HGNC Symbol;Acc:15507]	pseudogene
RP11-12A2.1	139659155	139660717			ENSG00000218565		pseudogene
RP5-1186N24.3	28555155	28559524			ENSG00000246350		processed_transcript
RP3-331H24.5	72004876	72127139			ENSG00000269966		lincRNA
RP11-373N24.2	28601158	28601371			ENSG00000271440		pseudogene
RP3-422G23.4	138699042	138704212			ENSG00000262543	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:I3L185]	protein_coding
RP11-12A2.3	139791301	139794192			ENSG00000238099		lincRNA
AL121932.1	28615974	28616042			ENSG00000272278		miRNA
RP3-331H24.4	72038645	72039509			ENSG00000230597		lincRNA
LINC00533	28616063	28616843			ENSG00000235570	long intergenic non-protein coding RNA 533 [Source:HGNC Symbol;Acc:18690]	lincRNA
ATP5F1P6	139935575	139936341			ENSG00000219806	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1 pseudogene 6 [Source:HGNC Symbol;Acc:39747]	pseudogene
RPSAP2	28699794	28700681			ENSG00000237425	ribosomal protein SA pseudogene 2 [Source:HGNC Symbol;Acc:18771]	pseudogene
RP11-15H7.2	139981065	139982650			ENSG00000205695		pseudogene
LINC00472	72054047	72130472			ENSG00000233237	long intergenic non-protein coding RNA 472 [Source:HGNC Symbol;Acc:21380]	lincRNA
AL662890.1	28743693	28743800			ENSG00000221191		miRNA
HEBP2	138724668	138743334			ENSG00000051620	heme binding protein 2 [Source:HGNC Symbol;Acc:15716]	protein_coding
NOL5BP	28751410	28751781			ENSG00000235559		pseudogene
IYD	150690028	150727105	274800	 THYROID DYSHORMONOGENESIS 4; TDH4	ENSG00000009765	iodotyrosine deiodinase [Source:HGNC Symbol;Acc:21071]	protein_coding
AL662890.3	28763749	28763812			ENSG00000265764		miRNA
XXbac-BPG308K3.5	28805646	28806783			ENSG00000225173		lincRNA
RP5-899B16.1	140175987	140181288			ENSG00000231426		lincRNA
XXbac-BPG308K3.6	28827402	28832407			ENSG00000225595		lincRNA
RPL13P	28829193	28829824			ENSG00000213916	ribosomal protein L13 pseudogene [Source:HGNC Symbol;Acc:13978]	pseudogene
ZNF90P2	28856609	28857683			ENSG00000233366	zinc finger protein 90 pseudogene 2 [Source:HGNC Symbol;Acc:21687]	pseudogene
RP5-899B16.2	140177241	140198528			ENSG00000225148		lincRNA
HCG14	28864307	28865099			ENSG00000224157	HLA complex group 14 (non-protein coding) [Source:HGNC Symbol;Acc:18323]	antisense
RP3-332B22.1	140388572	140414858			ENSG00000236013		lincRNA
MIR30C2	72086663	72086734			ENSG00000199094	microRNA 30c-2 [Source:HGNC Symbol;Acc:31627]	miRNA
NFKBIE	44225903	44233500			ENSG00000146232	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon [Source:HGNC Symbol;Acc:7799]	protein_coding
MIR30A	72113254	72113324			ENSG00000207827	microRNA 30a [Source:HGNC Symbol;Acc:31624]	miRNA
RNU6-930P	28883422	28883521			ENSG00000212240	RNA, U6 small nuclear 930, pseudogene [Source:HGNC Symbol;Acc:47893]	snRNA
KRT18P1	28936907	28938237			ENSG00000228666	keratin 18 pseudogene 1 [Source:HGNC Symbol;Acc:6434]	pseudogene
RP1-288M22.2	72160537	72168577			ENSG00000223765		lincRNA
AL035467.1	72248587	72248679			ENSG00000212099		miRNA
RP1-288M22.1	72260661	72261346			ENSG00000219575		pseudogene
RN7SL471P	28945252	28945547			ENSG00000263426	RNA, 7SL, cytoplasmic 471, pseudogene [Source:HGNC Symbol;Acc:46487]	misc_RNA
KRT19P1	72294424	72295609			ENSG00000218014	keratin 19 pseudogene 1 [Source:HGNC Symbol;Acc:33422]	pseudogene
HCG15	28953980	28955261			ENSG00000227214	HLA complex group 15 (non-protein coding) [Source:HGNC Symbol;Acc:18361]	antisense
HCG16	28954577	28956313			ENSG00000244349	HLA complex group 16 (non-protein coding) [Source:HGNC Symbol;Acc:20424]	antisense
PKHD1	51480098	51952423	263200	 POLYCYSTIC KIDNEY DISEASE, AUTOSOMAL RECESSIVE; ARPKD	ENSG00000170927	polycystic kidney and hepatic disease 1 (autosomal recessive) [Source:HGNC Symbol;Acc:9016]	protein_coding
OR2AD1P	28994457	28995384			ENSG00000223677	olfactory receptor, family 2, subfamily AD, member 1 pseudogene [Source:HGNC Symbol;Acc:14749]	pseudogene
RNA5SP220	140479728	140479831			ENSG00000252107	RNA, 5S ribosomal pseudogene 220 [Source:HGNC Symbol;Acc:43120]	rRNA
AL354933.1	72294792	72294904			ENSG00000211530		miRNA
MIR3668	140526389	140526463			ENSG00000263514	microRNA 3668 [Source:HGNC Symbol;Acc:38982]	miRNA
RNU4-66P	72362177	72362314			ENSG00000202069	RNA, U4 small nuclear 66, pseudogene [Source:HGNC Symbol;Acc:47002]	snRNA
OR2P1P	29039601	29040376			ENSG00000236909	olfactory receptor, family 2, subfamily P, member 1 pseudogene [Source:HGNC Symbol;Acc:8272]	pseudogene
AL445256.1	72936410	72936533			ENSG00000264447		miRNA
AL356137.1	140981760	140981850			ENSG00000221336		miRNA
MIR4465	141004951	141005020			ENSG00000264390	microRNA 4465 [Source:HGNC Symbol;Acc:41842]	miRNA
RP5-1046G13.2	73026302	73027139			ENSG00000218732		pseudogene
SAR1P1	29044350	29044945			ENSG00000228364		pseudogene
