Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
RP1-59B16.1	23972107	23973169			ENSG00000220748
Z97352.1	130068882	130068964			ENSG00000211996
RPL5P21	130077443	130078257			ENSG00000218689
HNRNPA1P58	24002052	24002658			ENSG00000219582
SNORD46	24166501	24166602			ENSG00000251830
RNU6-391P	24365879	24365982			ENSG00000202050
KRT8P43	24598240	24600018			ENSG00000218186
RAET1E	150204511	150219238			ENSG00000164520
RP11-174C7.1	130104914	130105190			ENSG00000219666
RP1-30M3.5	24701135	24702021			ENSG00000272345
RP1-214M20.2	52804524	52822319			ENSG00000243236
RP1-30M3.6	24706975	24707379			ENSG00000272402
RP3-369A17.4	24742530	24752149			ENSG00000224164
RP11-174C7.2	130122053	130123359			ENSG00000218725
RP3-369A17.2	24750899	24751853			ENSG00000218806
Y_RNA	52843956	52844053			ENSG00000252106
RN7SK	52860418	52860748			ENSG00000202198
RN7SL244P	52955759	52956056			ENSG00000242865
RP11-506E9.3	52990445	52990944			ENSG00000261745
AL512428.1	24840195	24840293			ENSG00000263391
RP1-245M18.2	24948108	24948572			ENSG00000217083
U3	53012606	53012727			ENSG00000251930
PPIAP29	24976647	24977210			ENSG00000214975
RNU6-464P	53018593	53018696			ENSG00000253026
SOD1P1	53061518	53061957			ENSG00000219074
RP11-367G6.3	25015180	25042398			ENSG00000272053
RP1-34L19.1	53071396	53073495			ENSG00000218713
ASS1P1	25023475	25024711			ENSG00000220517
RP11-174C7.3	130140782	130141315			ENSG00000219302
RP11-73O6.3	130454555	130465515			ENSG00000227678
RNU1-136P	53084059	53084222			ENSG00000206908
HMGB1P20	53100419	53101095			ENSG00000219163
RN7SL334P	25031243	25031510			ENSG00000244618
AL137251.1	130755410	130755498			ENSG00000266556
MIR5685	53141791	53141869			ENSG00000264056
RP3-425P12.5	25042067	25056892			ENSG00000229313
Y_RNA	130895141	130895257			ENSG00000202438
RPS16P5	53201741	53202144			ENSG00000217527
RP11-102N11.1	131018457	131018923			ENSG00000229923
RP3-425P12.1	25053855	25057301			ENSG00000223623
RP1-209B5.2	131505465	131506626			ENSG00000218857
RP3-425P12.2	25061853	25063735			ENSG00000230372
RP3-483K16.4	53214956	53215503			ENSG00000271367
RPL31P28	53219486	53219863			ENSG00000219863
RPL31P33	53233468	53233807			ENSG00000218049
CMAHP	25081548	25166793			ENSG00000168405
RP11-96J19.1	53243301	53243659			ENSG00000218261
RP11-96J19.4	53246317	53247001			ENSG00000271338
RPL21P67	131790199	131790676			ENSG00000219776
RN7SKP256	53280092	53280405			ENSG00000253010
NANOGP3	53283250	53283535			ENSG00000271373
AL591034.1	53321245	53321330			ENSG00000212065
RP1-27K12.4	53367983	53371717			ENSG00000249379
HBS1L	135281516	135424194			ENSG00000112339
RP1-27K12.2	53426087	53481969			ENSG00000231683
RNU4-18P	131963958	131964106			ENSG00000252560
RP5-988G15.1	132101861	132102452			ENSG00000216917
MIR548H5	132113312	132113371			ENSG00000266807
RP3-323K23.3	132140943	132141231			ENSG00000219532
RN7SKP245	132141474	132141793			ENSG00000200895
RP1-131F15.2	132147121	132149553			ENSG00000237115
RP11-69I8.2	132223103	132241705			ENSG00000236673
RP11-345L23.1	53493178	53496192			ENSG00000235899
VPS52	33218049	33239824			ENSG00000223501
RP11-69I8.3	132272086	132398533			ENSG00000227220
RP11-79N23.1	53605547	53611820			ENSG00000227885
RP13-476E20.1	53655673	53659072			ENSG00000228614
RP3-523C21.2	132406224	132420419			ENSG00000236166
SLC22A7	43263432	43273276			ENSG00000137204
RP3-523E19.2	53783772	53785586			ENSG00000271218
MIR548AJ1	132436332	132436403			ENSG00000265669
RP11-411K7.1	53794820	53862465			ENSG00000236740
DSP	7541808	7586950	 KERATOSIS PALMOPLANTARIS STRIATA II; PPKS2	612908	ENSG00000096696
DSP	7541808	7586950	 EPIDERMOLYSIS BULLOSA, LETHAL ACANTHOLYTIC	609638	ENSG00000096696
DSP	7541808	7586950	 SKIN FRAGILITY-WOOLLY HAIR SYNDROME; SFWHS	607655	ENSG00000096696
DSP	7541808	7586950	 ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 8; ARVD8	607450	ENSG00000096696
DSP	7541808	7586950	 CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR AND KERATODERMA; DCWHK	605676	ENSG00000096696
LINC01013	132453055	132490514			ENSG00000228495
RP3-425P12.4	25140212	25141649			ENSG00000219682
MLIP-IT1	53863688	53871950			ENSG00000236996
RP11-191A15.1	25152775	25153111			ENSG00000262400
ERHP2	53881277	53881575			ENSG00000218143
RP11-191A15.2	25181587	25181973			ENSG00000217805
HIVEP2	143072604	143266338			ENSG00000010818
RNY5P5	25192641	25192718			ENSG00000222373
MLIP-AS1	53893975	53944524			ENSG00000235050
AL590084.1	25203481	25203568			ENSG00000264238
RP11-191A15.4	25218916	25219297			ENSG00000219681
EEF1A1P36	132593121	132594471			ENSG00000223912
RP3-522P13.3	25245584	25261639			ENSG00000235733
RP11-124I4.2	54230133	54234769			ENSG00000228231
KATNBL1P5	25248491	25249007			ENSG00000271108
RP3-522P13.1	25261467	25261959			ENSG00000216718
CLNS1AP1	54349967	54350648			ENSG00000213335
RP3-334F4.2	54467285	54467948			ENSG00000216347
RP3-522P13.2	25272428	25273979			ENSG00000213972
RPL21P66	132839969	132840434			ENSG00000225343
RAET1G	150238014	150244257			ENSG00000203722
TAAR7P	132880163	132880404			ENSG00000235998
Y_RNA	25287660	25287761			ENSG00000207286
TAAR4P	132915537	132916575			ENSG00000237449
RNU6-987P	25383827	25383930			ENSG00000207490
AL160037.1	25408123	25408199			ENSG00000253017
snoU13	25435508	25435590			ENSG00000238322
RP3-334F4.1	54489403	54490286			ENSG00000220773
PRELID1P2	25678997	25679392			ENSG00000217408
USP45	99880190	99969604			ENSG00000123552
TAAR3	132929364	132930441			ENSG00000179073
HIST1H2BPS1	25732010	25732390			ENSG00000178762
HLFP1	132996024	132996522			ENSG00000218194
KRASP1	54635381	54635932			ENSG00000220635
HIST1H2APS1	25732725	25733055			ENSG00000216436
CCNG1P1	133019922	133020806			ENSG00000218991
RP1-55C23.7	133073814	133075090			ENSG00000234484
HIST1H2APS2	25882254	25882623			ENSG00000242387
RP1-55C23.8	133085799	133086597			ENSG00000271488
RNU6-1023P	54651185	54651290			ENSG00000251946
RP11-524H19.2	54704916	54705653			ENSG00000224984
SNORD101	133136446	133136518			ENSG00000206754
U91328.21	25984040	25999395			ENSG00000272558
SNORD100	133137941	133138016			ENSG00000221500
U91328.20	25990989	25991454			ENSG00000272065
SNORA33	133138358	133138487			ENSG00000200534
RP3-523K23.2	54807965	54809897			ENSG00000261116
HMGB1P13	133189357	133189998			ENSG00000220557
U91328.19	25992890	26002003			ENSG00000272462
MTFR2	136552162	136571473			ENSG00000146410
RP11-228O6.2	55545440	55545819			ENSG00000220725
U91328.22	26013469	26013985			ENSG00000272810
NPM1P36	55804588	55805422			ENSG00000214604
HIST1H1PS2	26016607	26016829			ENSG00000224447
TAF11	34845555	34855866			ENSG00000064995
U91328.2	26044217	26044585			ENSG00000234816
RPL23AP46	133318690	133319179			ENSG00000213122
RP11-323I14__A.1	56141327	56141594			ENSG00000219095
LARP1P1	26164300	26164591			ENSG00000217159
HIST1H1PS1	26195794	26195999			ENSG00000216331
RP1-34B20.4	26202384	26202882			ENSG00000217275
RP3-445N2.1	56196586	56196915			ENSG00000227602
HIST1H2APS3	26233350	26233483			ENSG00000218281
HIST1H2APS4	26272421	26272768			ENSG00000218690
RCC2P7	56296748	56298011			ENSG00000220666
TFB1M	155578643	155635627			ENSG00000029639
HIST1H3PS1	26322104	26322520			ENSG00000220875
RNU6-1259P	26353199	26353264			ENSG00000252399
AL137008.1	56297177	56297240			ENSG00000266793
AL021917.1	26365704	26365780			ENSG00000215979
LINC00326	133409219	133427717			ENSG00000231023
RP11-472M19.2	56708800	56728876			ENSG00000231441
RPL17P26	56735989	56736541			ENSG00000216854
BTN2A3P	26421619	26432611			ENSG00000124549
RNU6-626P	56810528	56810635			ENSG00000200224
MTCYBP4	133471707	133471955			ENSG00000220113
OSTCP6	56840404	56840860			ENSG00000219790
RP1-283K11.3	133756215	133760602			ENSG00000223542
FTH1P15	56869318	56869597			ENSG00000218980
RP1-283K11.2	133773995	133777743			ENSG00000234567
PXT1	36358328	36410666			ENSG00000179165
RP3-323P13.2	133823390	134213074			ENSG00000227954
RP11-203B9.4	56979692	57039034			ENSG00000226803
ULBP2	150263136	150270371			ENSG00000131015
HSPE1P21	133831524	133831831			ENSG00000238059
RP11-704J17.5	133861922	133862312			ENSG00000272428
TFAP2B	50786436	50815326	 CHAR SYNDROME	169100	ENSG00000008196
FTH1P26	133997867	133998567			ENSG00000218213
RP4-662A9.2	134142285	134172938			ENSG00000223586
RNU6-502P	26519579	26519686			ENSG00000199289
HMGA1P7	134436373	134436874			ENSG00000216753
HCG11	26522076	26526807			ENSG00000228223
PRIM2	57179603	57513375			ENSG00000146143
RN7SL408P	134454711	134455004			ENSG00000266875
snoU13	134527549	134527652			ENSG00000238631
RNA5SP218	134578173	134578281			ENSG00000200058
Y_RNA	134604230	134604331			ENSG00000201309
KCTD20	36410544	36458920			ENSG00000112078
KRT8P42	134618135	134619833			ENSG00000220378
CTA-14H9.5	26527291	26527632			ENSG00000261353
RP11-457M11.6	26612131	26613337			ENSG00000271071
CHCHD2P4	134714280	134715038			ENSG00000213118
VN1R14P	26630782	26632007			ENSG00000218346
RP11-457M11.2	26634611	26637008			ENSG00000233631
RP11-457M11.5	26686469	26688192			ENSG00000261584
RP11-557H15.3	134749378	134841723			ENSG00000231971
GUSBP2	26839263	26924333			ENSG00000241549
GMNN	24775159	24786327			ENSG00000112312
LINC01010	134758854	134825719			ENSG00000236700
ANKS1A	34857042	35059179			ENSG00000064999
RP11-557H15.4	134846452	134980974			ENSG00000232310
PERP	138409642	138428648			ENSG00000112378
RP11-239L20.3	26864731	26866556			ENSG00000243307
ULBP1	150285143	150294846			ENSG00000111981
LINC00240	26924771	26991703			ENSG00000224843
MIR548U	57254930	57255010			ENSG00000212017
FAM8A6P	134924702	134925836			ENSG00000218772
RP1-71H19.2	57358736	57362565			ENSG00000266579
RP11-239L20.6	26968987	26969427			ENSG00000272312
GAPDHP41	57686969	57687949			ENSG00000214566
RP11-557H15.5	134927437	134930575			ENSG00000229722
TRNAI2	26988114	26988226			ENSG00000238621
CTA-31J9.2	134957627	134963633			ENSG00000227723
VN1R12P	27001214	27002089			ENSG00000220581
VN1R13P	27028144	27029028			ENSG00000216762
VN1R11P	27051059	27051926			ENSG00000219770
RP1-287H17.1	135027198	135028487			ENSG00000236389
RP11-343D24.2	57690895	57691645			ENSG00000231273
RNU2-62P	27077569	27077759			ENSG00000222800
RP1-86C11.7	27090436	27091000			ENSG00000272468
RP3-352A20.1	135219012	135219897			ENSG00000213117
RP11-325M4.2	57793932	57794280			ENSG00000262828
RBBP4P3	57841107	57842388			ENSG00000215307
MIR3143	27115405	27115467			ENSG00000265565
RP11-209A2.1	27179023	27179692			ENSG00000174572
RP11-452D24.1	58028201	58028363			ENSG00000270213
RP11-349J5.2	135262530	135263588			ENSG00000240056
CTA-212D2.2	135376171	135381688			ENSG00000232876
XXbac-BPGBPG24O18.1	27235892	27237008			ENSG00000270935
XXbac-BPGBPG55C20.1	58182169	58182746			ENSG00000272541
XXbac-BPGBPG55C20.3	58228887	58229426			ENSG00000271761
STXBP5	147525561	147706866			ENSG00000164506
MYB-AS1	135516221	135517133			ENSG00000236703
VN1R10P	27292578	27293742			ENSG00000220758
BTN3A1	26402465	26415444			ENSG00000026950
XXbac-BPGBPG55C20.2	58234838	58240189			ENSG00000272316
MIR548A2	135560298	135560394			ENSG00000207689
RP1-32B1.4	135581134	135582071			ENSG00000224374
GUSBP4	58246051	58256569			ENSG00000239650
RP3-388E23.2	135622706	135628296			ENSG00000234084
ZNF204P	27325604	27339304			ENSG00000204789
CLDN20	155585147	155597682			ENSG00000171217
Y_RNA	135795642	135795747			ENSG00000201012
CRIP3	43267448	43276535			ENSG00000146215
LINC00271	135818489	136037193			ENSG00000231028
POM121L14P	58263736	58265293			ENSG00000218189
KIAA1244	138483058	138665800			ENSG00000112379
LINC00680	58272352	58287779			ENSG00000215190
RP1-153G14.4	27371789	27374743			ENSG00000271755
NOX3	155716504	155777037			ENSG00000074771
MCFD2P1	27375476	27375775			ENSG00000237154
GAPDHP73	135940303	135941309			ENSG00000226540
RAET1L	150339470	150346668			ENSG00000155918
XXbac-BPGBPG34I8.1	27482818	27483053			ENSG00000270666
HNRNPA1P1	27490855	27492118			ENSG00000218347
XXbac-BPG34I8.3	27528601	27529523			ENSG00000219738
RP1-38C16.2	135950543	135951406			ENSG00000233534
RNU6-471P	27564191	27564296			ENSG00000206671
TRNAI6	27599188	27599311			ENSG00000238648
HMGB1P17	135957224	135957851			ENSG00000217482
RP1-15D7.1	27620381	27620604			ENSG00000216676
SLC35B2	44221833	44225291			ENSG00000157593
XXbac-BPG55C20.7	58291908	58298496			ENSG00000225096
GAPDHP15	58293965	58294939			ENSG00000214563
RP1-97D16.1	27704779	27706273			ENSG00000216915
RP11-278J20.2	58397998	58399412			ENSG00000216687
RP11-394G3.2	136128286	136129604			ENSG00000236378
AL360178.1	136235893	136235985			ENSG00000238921
RSL24D1P1	27748398	27748890			ENSG00000218069
AL512290.1	136298949	136299041			ENSG00000222121
RBBP4P4	58446019	58447307			ENSG00000214561
COX5BP2	136355169	136356293			ENSG00000213111
HIST1H4PS1	27774853	27775117			ENSG00000217862
HIST1H2BPS2	27831840	27832179			ENSG00000217646
RP13-143G15.3	136364990	136393965			ENSG00000227844
RNU7-26P	27865282	27865344			ENSG00000238610
RP11-143A22.1	58488888	58513860			ENSG00000223633
OR2W6P	27905243	27906181			ENSG00000168126
RP1-91N13.1	61996403	61996816			ENSG00000220030
AL356131.1	62056770	62056882			ENSG00000221606
RP1-240B8.3	62340138	62390954			ENSG00000250686
RP11-448N11.1	63170845	63171408			ENSG00000216859
RPLP2P1	27932953	27933292			ENSG00000214374
RP13-143G15.4	136415853	136546733			ENSG00000237596
OR2W4P	27944928	27945853			ENSG00000216629
RP3-406A7.1	136639099	136639374			ENSG00000216519
RP11-448N11.2	63257332	63258177			ENSG00000217067
IQCB2P	27978501	27980133			ENSG00000217539
RP11-448N11.3	63321058	63321232			ENSG00000262566
RP3-406A7.7	136656852	136657225			ENSG00000260418
AL589736.1	63393083	63393173			ENSG00000216072
U3	27983346	27983553			ENSG00000199851
AL121931.1	63436740	63436829			ENSG00000264410
RP3-406A7.3	136685267	136686217			ENSG00000220660
AL590558.1	63692989	63693075			ENSG00000266682
OR2W2P	28001725	28002633			ENSG00000217315
RP11-184C23.1	63902977	63903535			ENSG00000217477
OR2B7P	28014212	28015145			ENSG00000187763
SPTLC1P3	63937390	63937648			ENSG00000219940
RP11-184C23.4	63938992	63940015			ENSG00000218520
RP3-407E4.2	64102127	64102511			ENSG00000218617
RP3-407E4.3	64104912	64107011			ENSG00000218274
RP3-406A7.5	136740985	136741563			ENSG00000216613
OR2B8P	28021006	28021943			ENSG00000182477
RP3-407E4.4	64150671	64153485			ENSG00000218048
EEF1B2P5	64190039	64191781			ENSG00000225121
ULBP3	150384286	150390231			ENSG00000131019
OR1F12	28041094	28042011			ENSG00000220721
NDUFS5P1	136797000	136797288			ENSG00000218424
RPL7AP34	64258613	64259413			ENSG00000213312
RP5-1148A21.3	64280910	64282313			ENSG00000266680
RP11-164N20.2	64322666	64322808			ENSG00000262651
RP1-313I6.12	28046570	28048908			ENSG00000272009
RPL9P18	64325732	64326266			ENSG00000213309
7SK	136866330	136866630			ENSG00000271765
RP3-325F22.5	136871799	136873692			ENSG00000272189
RP11-59D5__B.3	64507082	64507924			ENSG00000218813
RP3-325F22.3	136950310	136969137			ENSG00000234263
RNA5SP219	136951381	136951493			ENSG00000212242
ZSCAN12P1	28058932	28061442			ENSG00000219891
SNORA27	137176836	137176969			ENSG00000201807
AIG1	143381633	143661441			ENSG00000146416
RP11-55K22.2	137221371	137222667			ENSG00000213109
RP11-59D5__B.2	64516729	64532535			ENSG00000236345
GCNT1P4	64567334	64567662			ENSG00000219653
RP1-265C24.5	28083406	28084329			ENSG00000219392
Y_RNA	137255903	137256004			ENSG00000207247
RPL35AP3	137295067	137295354			ENSG00000230350
RP11-349P19.1	65087688	65122672			ENSG00000232120
HNRNPDP2	65341098	65341575			ENSG00000217811
RP11-307F22.2	65438730	65443730			ENSG00000243828
RP11-55K22.5	137303302	137314371			ENSG00000225391
AL109922.1	65684286	65684385			ENSG00000221312
RP11-204P2.3	137316307	137320641			ENSG00000235399
AL109922.2	65720260	65720336			ENSG00000256352
SNORD112	137861537	137861608			ENSG00000252476
ZSCAN16-AS1	28089573	28105071			ENSG00000269293
RP11-74E24.2	66011354	66014960			ENSG00000214558
BTF3L4P3	137865034	137865509			ENSG00000213108
AL109612.1	66176897	66176982			ENSG00000265187
SLC25A51P1	66498310	66499180			ENSG00000220483
RP1-265C24.8	28104627	28107456			ENSG00000261839
ADH5P4	66546823	66547947			ENSG00000233859
RP11-95M15.1	137994597	137995691			ENSG00000230533
ZNF192P1	28129559	28137372			ENSG00000226314
RP11-95M15.2	138026560	138028338			ENSG00000220412
NUFIP1P	66803324	66804802			ENSG00000218890
AC002485.1	67069318	67069392			ENSG00000221281
RP11-24C14.1	67420135	67420720			ENSG00000270521
RNU7-66P	67438736	67438797			ENSG00000238949
AL590874.1	67859402	67859492			ENSG00000266073
SNORD65	67920301	67920373			ENSG00000212229
AL357060.1	138038085	138038179			ENSG00000216097
RP11-409K15.1	68166239	68167143			ENSG00000271111
RP11-356I2.1	138051307	138060120			ENSG00000234956
RNA5SP208	68177124	68177201			ENSG00000251965
RNU6-280P	68256544	68256647			ENSG00000201015
Y_RNA	68335249	68335357			ENSG00000206672
RP11-301G19.1	68597538	68599231			ENSG00000227706
RP11-301G19.2	68643377	68644574			ENSG00000270509
Y_RNA	138105511	138105623			ENSG00000207300
RP11-542F9.1	68765243	68770394			ENSG00000223504
RP11-356I2.4	138144810	138189370			ENSG00000237499
RP11-406O16.1	68936864	69039791			ENSG00000226497
AL606923.1	69203331	69203418			ENSG00000266675
AL022393.7	28143966	28144452			ENSG00000216901
RP11-361F19.1	69308096	69308285			ENSG00000218834
RP3-525N10.2	69339854	69344919			ENSG00000230910
BCLAF1	136578001	136610989			ENSG00000029363
ZNF192P2	28155828	28157210			ENSG00000218016
AL158051.1	69924622	69924702			ENSG00000265498
AL358133.1	70331265	70331364			ENSG00000265362
NPM1P37	70415179	70416052			ENSG00000219085
RP11-10J5.1	138264216	138266939			ENSG00000226004
RP11-240M16.1	138266503	138293659			ENSG00000229922
GAPDHP42	70455763	70456743			ENSG00000219881
TOB2P1	28185421	28186655			ENSG00000176933
RPSAP42	138316407	138317284			ENSG00000219463
RPL37P15	70808282	70808568			ENSG00000216365
RP1-149L1.1	70932461	70951859			ENSG00000253809
RP11-462G2.1	71104590	71109120			ENSG00000237643
RP3-422G23.3	138714510	138714681			ENSG00000218499
MARCKSL1P2	138723722	138724697			ENSG00000215878
PPP1R14C	150464212	150571493			ENSG00000198729
RP5-874C20.3	28234788	28245974			ENSG00000197062
RP11-462G2.2	71122531	71123653			ENSG00000224349
MIR3145	138756350	138756431			ENSG00000266555
RP11-390P2.2	138971363	138972110			ENSG00000216802
RNU7-48P	71222997	71223059			ENSG00000238386
RP11-134K13.4	71306141	71306683			ENSG00000271967
RP11-134K13.2	71317937	71319037			ENSG00000232389
SLC25A6P6	71373205	71373982			ENSG00000218870
RP11-390P2.4	139013685	139018425			ENSG00000225177
ARID1B	157099063	157531913	 MENTAL RETARDATION, AUTOSOMAL DOMINANT 12; MRD12	614562	ENSG00000049618
RP3-509I19.1	139143884	139145015			ENSG00000225415
RP11-160A9.3	71403542	71404322			ENSG00000262803
RP11-160A9.2	71444206	71444665			ENSG00000217767
RNU6-427P	139180164	139180270			ENSG00000206856
RP1-20N4.1	71785267	71786078			ENSG00000219669
RP3-509I19.6	139200036	139200544			ENSG00000220600
U3	71836597	71836808			ENSG00000221345
LYPLA1P3	71874779	71875473			ENSG00000218350
RNU6-411P	71892315	71892421			ENSG00000207180
PBOV1	138537129	138539627			ENSG00000254440
RP1-225E12.2	139465341	139560442			ENSG00000231329
RP11-154D6.1	71931160	72037931			ENSG00000232295
RP1-225E12.3	139480294	139566661			ENSG00000272446
RP5-874C20.6	28287437	28287629			ENSG00000270326
RP11-445F6.2	139592499	139608444			ENSG00000226571
RNU2-45P	28378047	28378233			ENSG00000251877
COX11P1	28414750	28415584			ENSG00000231162
OR2E1P	28423425	28423918			ENSG00000219262
RP11-12A2.1	139659155	139660717			ENSG00000218565
RP5-1186N24.3	28555155	28559524			ENSG00000246350
RP3-331H24.5	72004876	72127139			ENSG00000269966
RP11-373N24.2	28601158	28601371			ENSG00000271440
RP3-422G23.4	138699042	138704212			ENSG00000262543
RP11-12A2.3	139791301	139794192			ENSG00000238099
AL121932.1	28615974	28616042			ENSG00000272278
RP3-331H24.4	72038645	72039509			ENSG00000230597
LINC00533	28616063	28616843			ENSG00000235570
ATP5F1P6	139935575	139936341			ENSG00000219806
RPSAP2	28699794	28700681			ENSG00000237425
RP11-15H7.2	139981065	139982650			ENSG00000205695
LINC00472	72054047	72130472			ENSG00000233237
AL662890.1	28743693	28743800			ENSG00000221191
HEBP2	138724668	138743334			ENSG00000051620
NOL5BP	28751410	28751781			ENSG00000235559
IYD	150690028	150727105	 THYROID DYSHORMONOGENESIS 4; TDH4	274800	ENSG00000009765
AL662890.3	28763749	28763812			ENSG00000265764
XXbac-BPG308K3.5	28805646	28806783			ENSG00000225173
RP5-899B16.1	140175987	140181288			ENSG00000231426
XXbac-BPG308K3.6	28827402	28832407			ENSG00000225595
RPL13P	28829193	28829824			ENSG00000213916
ZNF90P2	28856609	28857683			ENSG00000233366
RP5-899B16.2	140177241	140198528			ENSG00000225148
HCG14	28864307	28865099			ENSG00000224157
RP3-332B22.1	140388572	140414858			ENSG00000236013
MIR30C2	72086663	72086734			ENSG00000199094
NFKBIE	44225903	44233500			ENSG00000146232
MIR30A	72113254	72113324			ENSG00000207827
RNU6-930P	28883422	28883521			ENSG00000212240
KRT18P1	28936907	28938237			ENSG00000228666
RP1-288M22.2	72160537	72168577			ENSG00000223765
AL035467.1	72248587	72248679			ENSG00000212099
RP1-288M22.1	72260661	72261346			ENSG00000219575
RN7SL471P	28945252	28945547			ENSG00000263426
KRT19P1	72294424	72295609			ENSG00000218014
HCG15	28953980	28955261			ENSG00000227214
HCG16	28954577	28956313			ENSG00000244349
PKHD1	51480098	51952423	 POLYCYSTIC KIDNEY DISEASE, AUTOSOMAL RECESSIVE; ARPKD	263200	ENSG00000170927
OR2AD1P	28994457	28995384			ENSG00000223677
RNA5SP220	140479728	140479831			ENSG00000252107
AL354933.1	72294792	72294904			ENSG00000211530
MIR3668	140526389	140526463			ENSG00000263514
RNU4-66P	72362177	72362314			ENSG00000202069
OR2P1P	29039601	29040376			ENSG00000236909
AL445256.1	72936410	72936533			ENSG00000264447
AL356137.1	140981760	140981850			ENSG00000221336
MIR4465	141004951	141005020			ENSG00000264390
RP5-1046G13.2	73026302	73027139			ENSG00000218732
SAR1P1	29044350	29044945			ENSG00000228364
RPS3AP24	141082666	141083399			ENSG00000217684
RP11-135M8__A.1	73232343	73232940			ENSG00000217483
XXbac-BCX196D17.5	29091987	29096685			ENSG00000227206
OR2N1P	29105657	29106593			ENSG00000203492
RP3-474G15.1	73308179	73309362			ENSG00000181514
KCNQ5-IT1	73340223	73388282			ENSG00000233844
MIR4282	73677410	73677476			ENSG00000266180
RP3-460G2.2	141167095	141174061			ENSG00000234147
OR2J4P	29149287	29150222			ENSG00000224233
RP11-471B18.1	141243594	141244047			ENSG00000216548
KNOP1P4	73696036	73697473			ENSG00000232422
OR2H4P	29183013	29183956			ENSG00000230598
RP11-63E9.1	141768148	141772143			ENSG00000259828
RN7SKP106	141807278	141807549			ENSG00000222764
PGAM1P10	73764820	73765580			ENSG00000220515
XXbac-BPG308J9.3	29191750	29258217			ENSG00000232505
RPS3AP23	141956787	141957640			ENSG00000218351
KCNQ5-AS1	73844526	73853237			ENSG00000229154
OR2G1P	29197004	29197934			ENSG00000213911
OR2U1P	29230480	29231856			ENSG00000204697
RP11-257K9.3	73867240	73867862			ENSG00000234025
KHDC1P1	73918806	73919803			ENSG00000251360
OR2U2P	29236239	29237198			ENSG00000242524
OR2B4P	29258488	29259430			ENSG00000197171
RP11-137J7.3	142383854	142384190			ENSG00000270983
AC019205.1	73972731	73972807			ENSG00000263378
RP11-137J7.2	142409370	142410356			ENSG00000236822
RP11-753B14.1	142572984	142580769			ENSG00000237494
RP11-398K22.12	73972938	74011124			ENSG00000229852
DDX6P1	29297403	29298838			ENSG00000230056
AL360007.1	142583780	142583871			ENSG00000266843
RP11-440G9.1	142847592	142959026			ENSG00000236366
UBDP1	29432373	29437583			ENSG00000225797
RP1-67K17.3	143069580	143074896			ENSG00000233138
RPSAP41	74000126	74000985			ENSG00000239626
RP1-67K17.4	143109260	143115223			ENSG00000237851
MAS1LP1	29442802	29443848			ENSG00000230164
RP11-439L18.2	143267184	143277835			ENSG00000224460
RPS17P1	29457048	29457453			ENSG00000213900
RP11-439L18.1	143271348	143277783			ENSG00000232618
EIF3EP1	74001685	74003000			ENSG00000234882
DAAM2	39760142	39872648			ENSG00000146122
XXbac-BPG13B8.10	29465286	29478333			ENSG00000229274
RP11-439L18.3	143287558	143359214			ENSG00000229017
SDCBP2P1	74032560	74033173			ENSG00000223389
PAICSP3	74037247	74038740			ENSG00000226840
LINC01015	29497197	29501345			ENSG00000224582
RP1-45I4.3	143360562	143363461			ENSG00000227192
RP1-45I4.2	143415171	143420782			ENSG00000225752
OOEP-AS1	74079427	74097440			ENSG00000231332
RPL39P3	74082831	74082986			ENSG00000235174
RP1-95L4.2	143619907	143620691			ENSG00000217495
GPR53P	29505481	29506564			ENSG00000229281
OR2I1P	29520996	29521943			ENSG00000237988
RPS6P8	74100761	74101490			ENSG00000224221
OR2H5P	29541686	29542613			ENSG00000232173
snoU13	74103636	74103736			ENSG00000238464
AC019205.2	74142707	74142807			ENSG00000266346
TMEM183AP1	29545236	29545525			ENSG00000227609
RP1-95L4.3	143648412	143648792			ENSG00000216642
RNU6-975P	74173796	74173900			ENSG00000207023
AL603910.1	74186781	74186865			ENSG00000264609
Metazoa_SRP	74197315	74197600			ENSG00000271986
RP11-505P4.6	74201748	74202465			ENSG00000223821
SNORD32B	29550026	29550109			ENSG00000201330
RPL13AP	29550285	29550802			ENSG00000231301
RP11-505P4.7	74233341	74280319			ENSG00000229862
RP1-95L4.4	143663383	143664520			ENSG00000217648
RP11-505P4.5	74236467	74236602			ENSG00000223967
SUMO2P1	29603837	29604120			ENSG00000235238
RPS27P15	74328069	74328320			ENSG00000218459
RP1-20N2.7	143707718	143708546			ENSG00000270655
RP11-553A21.3	74403626	74405854			ENSG00000231652
ZDHHC20P1	29675902	29676324			ENSG00000233916
TUBB8P2	143757353	143757847			ENSG00000218896
HCG4P11	29690758	29691748			ENSG00000225864
RNA5SP221	143770946	143771048			ENSG00000223203
TXNP7	74714236	74714528			ENSG00000217268
HLA-F-AS1	29694378	29716826			ENSG00000214922
RP1-20N2.6	143806116	143828464			ENSG00000229036
STK38	36461669	36515247			ENSG00000112079
RP11-554D15.1	74779167	75400443			ENSG00000223786
VDAC1P8	143811652	143812504			ENSG00000241847
RP11-9G10.1	74991982	74992376			ENSG00000217178
RP11-436I24.1	143875462	143883168			ENSG00000235740
