Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
Y_RNA	31663288	31663401			ENSG00000201207
AL662800.1	30616229	30616305			ENSG00000222894
AL357515.1	110969773	110969872			ENSG00000266032
AL138885.1	10312350	10312458			ENSG00000275271
RNU6-1106P	105045562	105045668			ENSG00000212147
AL162381.1	5224728	5224797			ENSG00000280624
AL603910.1	73477058	73477142			ENSG00000264609
RNA5SP209	75865239	75865335			ENSG00000223169
Y_RNA	34821445	34821542			ENSG00000206717
SNORD32B	29582249	29582332			ENSG00000201330
RN7SL502P	36450912	36451201			ENSG00000240733
RN7SL580P	51975673	51975959			ENSG00000240641
RNU6-141P	20452369	20452473			ENSG00000222431
RNU6-793P	14646535	14646638			ENSG00000206960
RNU6-1113P	43474186	43474292			ENSG00000207076
TUBE1	112070777	112087529			ENSG00000074935
CYP21A1P	32005636	32008451			ENSG00000204338
Y_RNA	136934765	136934866			ENSG00000207247
Y_RNA	106420706	106420807			ENSG00000207499
RP11-356I2.4	137823673	137868233			ENSG00000237499
OR2B6	27957241	27958182			ENSG00000124657
RBMXP1	48213604	48214794			ENSG00000216835
MYL8P	33338978	33339495			ENSG00000229596
NPM1P36	55939790	55940624			ENSG00000214604
RNA5SP208	67467231	67467308			ENSG00000251965
XXyac-YX65C7_A.3	169286534	169289216			ENSG00000233085
FNDC1-IT1	159240786	159243329			ENSG00000235086
TRIM15	30163206	30172696			ENSG00000204610
RP11-425D10.10	109382795	109383666			ENSG00000260273
RP11-350J20.5	149796151	149826294			ENSG00000231760
CCT7P1	149879962	149881572			ENSG00000217733
RP11-350J20.12	149852462	149853192			ENSG00000273132
RAET1E-AS1	149863494	149919507			ENSG00000268592
RP11-532F6.3	708592	711405			ENSG00000272463
BTBD10P2	149794763	149795746			ENSG00000219433
RP11-350J20.9	149904243	149906418			ENSG00000216906
TNXA	32008614	32012472			ENSG00000248290
RAET1E-AS1	149884431	149919508			ENSG00000223701
RP4-810F7.1	23649496	23649774			ENSG00000219453
RP11-532F6.4	711533	750729			ENSG00000271727
RP11-440J4.2	23854444	23855457			ENSG00000278128
SPTLC1P2	23856698	23856818			ENSG00000218512
RP1-59B16.1	23971879	23972941			ENSG00000220748
FNDC1	159169397	159272109			ENSG00000164694
RP11-339A7.1	10213881	10214362			ENSG00000229765
BCKDHB	80106647	80346270	MAPLE SYRUP URINE DISEASE; MSUD;;BRANCHED-CHAIN KETOACIDURIA;;BRANCHED-CHAIN ALPHA-KETO ACID DEHYDROGENASE DEFICIENCY;;BCKD DEFICIENCY;;KETO ACID DECARBOXYLASE DEFICIENCYMAPLE SYRUP URINE DISEASE, CLASSIC, INCLUDED;;MAPLE SYRUP URINE DISEASE, INTERM /.../, INCLUDED;;MAPLE SYRUP URINE DISEASE, INTERMITTENT, INCLUDED;;MAPLE SYRUP URINE DISEASE, THIAMINE-RESPONSIVE, INCLUDED;;MAPLE SYRUP URINE DISEASE, TYPE IA, INCLUDED; MSUD1A, INCLUDED;;MAPLE SYRUP URINE DISEASE, TYPE IB, INCLUDED; MSUD1B, INCLUDED;;MAPLE SYRUP URINE DISEASE, TYPE II, INCLUDED; MSUD2, INCLUDED	248600	ENSG00000083123
HNRNPA1P58	24001824	24002430			ENSG00000219582
ZNF192P1	28161781	28169594			ENSG00000226314
RP1-290I10.2	10365593	10366582			ENSG00000216781
BTNL2	32393963	32407128	SARCOIDOSIS, SUSCEPTIBILITY TO, 2; SS2	612387	ENSG00000204290
HIST1H2APS3	26233122	26233255			ENSG00000218281
AL022393.9	28170845	28172521			ENSG00000280107
RP11-244G12.1	81551686	81554092			ENSG00000277797
FAM46A	81491439	81752774			ENSG00000112773
RP11-715G15.1	146594516	146598931			ENSG00000237468
DEFB113	49968677	49969625			ENSG00000214642
RP11-151M7.1	127632958	127635321			ENSG00000219284
HIST1H1D	26234268	26234933			ENSG00000124575
ARMC12	35737032	35749079			ENSG00000157343
HMGN2P28	2341450	2341711			ENSG00000236086
MYO6	75749192	75919537			ENSG00000196586
CPNE5	36740775	36840002			ENSG00000124772
DTNBP1	15522801	15663058	HERMANSKY-PUDLAK SYNDROME 7; HPS7	614076	ENSG00000047579
TRAM2	52497402	52576915			ENSG00000065308
RP1-300G12.2	81527102	81534915			ENSG00000226089
RP5-991C6.4	81724722	81736353			ENSG00000232031
RP11-462G2.2	70412828	70413950			ENSG00000224349
DDX39B	31530219	31542448			ENSG00000198563
RP11-390P2.4	138692548	138697288			ENSG00000225177
GMDS-AS1	2245748	2482022			ENSG00000250903
HIST1H4F	26240426	26240737			ENSG00000274618
DEFB110	50009138	50021981			ENSG00000203970
RP11-184C23.1	63193072	63193630			ENSG00000217477
LRP11	149818798	149864026			ENSG00000120256
FKBP1C	63211446	63213024			ENSG00000198225
SPTLC1P3	63227485	63227743			ENSG00000219940
RP1-199J3.5	99575712	99576456			ENSG00000219755
RPLP2P1	27965175	27965514			ENSG00000214374
VWA7	31765590	31777294			ENSG00000204396
RP1-199J3.6	99587611	99589898			ENSG00000279170
HIST1H4G	26246681	26246977			ENSG00000275663
IP6K3	33721667	33746985			ENSG00000161896
BTF3P7	6794915	6795402			ENSG00000219986
OR10C1	29440016	29440954			ENSG00000279941
OR12D2	29396700	29397623			ENSG00000168787
WBP1LP12	95124	95454			ENSG00000271530
DST	56457987	56954628			ENSG00000151914
DHFRP2	31366352	31366898			ENSG00000228432
HIST1H3F	26250195	26250605			ENSG00000277775
COX6A1P2	37044860	37045189			ENSG00000226976
HIST1H2BH	26251651	26252031			ENSG00000275713
RPL12P2	37091314	37091806			ENSG00000216412
SFTA2	30931353	30932175			ENSG00000196260
RP11-480N24.4	43328134	43328476			ENSG00000220614
SAR1P1	29076573	29077168			ENSG00000228364
OR2B3	29086307	29087313			ENSG00000204703
RP3-355L5.3	105298149	105298895			ENSG00000216639
TRAM2-AS1	52577307	52583993			ENSG00000225791
RP3-355L5.4	105279016	105281755			ENSG00000231628
OR4F1P	105919	106856			ENSG00000220212
FAM229B	112087599	112102790			ENSG00000203778
RP1-152L7.9	52657373	52657651			ENSG00000270382
AL133475.1	80001402	80001907			ENSG00000281602
OR2W4P	27977150	27978075			ENSG00000216629
RP1-142L7.8	112234165	112234758			ENSG00000271208
HCG4P8	29827385	29828364			ENSG00000229142
MICF	29852363	29852491			ENSG00000233265
HCG9	29975112	29978410			ENSG00000204625
HCP5B	29871895	29873783			ENSG00000281831
UBR2	42564062	42693504			ENSG00000024048
RP1-292B18.1	151099529	151099933			ENSG00000219747
RP11-613F7.1	151225550	151225947			ENSG00000213087
RP1-136B1.1	2437549	2438249			ENSG00000272465
CITED2	139371807	139374620	ATRIAL SEPTAL DEFECT 8; ASD8	614433	ENSG00000164442
CITED2	139371807	139374620	VENTRICULAR SEPTAL DEFECT 2; VSD2	614431	ENSG00000164442
RP1-152L7.5	52665148	52669155			ENSG00000216775
GAPDHP72	166064291	166065300			ENSG00000216624
PRDM13	99606730	99615578			ENSG00000112238
RP3-429O6.1	6901022	6918715			ENSG00000223342
HLA-U	29934101	29934286			ENSG00000228078
HCG4P3	30006121	30007116			ENSG00000237669
RP3-382I10.2	87425795	87426088			ENSG00000216324
FLOT1	30727709	30742733			ENSG00000137312
OR2J1	29100609	29101881			ENSG00000204702
WISP3	112054072	112070969	ARTHROPATHY, PROGRESSIVE PSEUDORHEUMATOID, OF CHILDHOOD; PPAC;;PROGRESSIVE PSEUDORHEUMATOID ARTHROPATHY OF CHILDHOOD;;SPONDYLOEPIPHYSEAL DYSPLASIA TARDA WITH PROGRESSIVE ARTHROPATHY; SEDT-PA;;PROGRESSIVE PSEUDORHEUMATOID DYSPLASIA; PPD	208230	ENSG00000112761
RP11-556O15.1	6993191	6995554			ENSG00000203498
HLA-K	29926459	29929232			ENSG00000230795
OR2J3	29111891	29112826	C3HEX, ABILITY TO SMELL	615082	ENSG00000204701
ZNRD1-AS1	30001011	30061640			ENSG00000204623
STXBP5-AS1	146841901	147204614			ENSG00000233452
RP1-153G14.4	27404010	27406964			ENSG00000271755
VTA1P1	169296471	169297959			ENSG00000224999
RP11-497D6.3	146859181	146863081			ENSG00000227748
RP11-497D6.5	146948528	146951159			ENSG00000272397
RP3-337D23.3	147158925	147180992			ENSG00000196634
IQCB2P	28010723	28012355			ENSG00000217539
SNRNP48	7590199	7611967			ENSG00000168566
SLC35A1	87470623	87512336	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf; CDG2F;;CDG IIf; CDGIIf	603585	ENSG00000164414
RP1-276N6.2	160272617	160276130			ENSG00000230234
RRAGD	89364636	89412270			ENSG00000025039
SLC22A2	160171061	160277638			ENSG00000112499
LAMA4	112108760	112254939			ENSG00000112769
OR2W2P	28033947	28034855			ENSG00000217315
VPS52	33250272	33272047			ENSG00000223501
GTPBP2	43605316	43629162			ENSG00000172432
RP3-336K20__B.2	7620422	7620878			ENSG00000236512
HLA-DRA	32439842	32445046	HEPATITIS B VIRUS, SUSCEPTIBILITY TO;;HBV, SUSCEPTIBILITY TOHEPATITIS B VIRUS, RESISTANCE TO, INCLUDED;;HBV, RESISTANCE TO, INCLUDED	610424	ENSG00000204287
XXbac-BCX196D17.5	29124210	29128908			ENSG00000227206
RP1-182O16.1	5788346	5788699			ENSG00000217239
STXBP5	147204425	147390476			ENSG00000164506
OR2N1P	29137880	29138816			ENSG00000203492
RPL24P4	42956345	42956765			ENSG00000181524
RP1-97D16.1	27737000	27738494			ENSG00000216915
RSL24D1P1	27780619	27781111			ENSG00000218069
RP11-428J1.5	5029972	5043449			ENSG00000272142
COL21A1	56056590	56394094			ENSG00000124749
RP11-428J1.4	5031756	5054423			ENSG00000271978
RP11-12A2.3	139468995	139474596			ENSG00000238099
RP11-812I20.2	47562622	47563018			ENSG00000216813
ATP5F1P6	139614438	139615204			ENSG00000219806
CD2AP	47477789	47627263	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 3, SUSCEPTIBILITY TO; FSGS3;;GLOMERULOSCLEROSIS, FOCAL SEGMENTAL, 3, SUSCEPTIBILITY TO	607832	ENSG00000198087
RP11-532F6.5	761675	780648			ENSG00000271911
GLYATL3	49499958	49527047			ENSG00000203972
RP11-284J1.1	774747	780214			ENSG00000272485
RP11-325O24.1	127654860	127655278			ENSG00000218187
RP5-1181K21.4	132891924	132893819			ENSG00000279960
BYSL	41921188	41933046			ENSG00000112578
HIST1H3PS1	26321876	26322292			ENSG00000220875
HNRNPA1P2	32325219	32326178			ENSG00000237285
XXbac-BPG154L12.5	32255284	32350039			ENSG00000277427
XXbac-BPG154L12.4	32255711	32265838			ENSG00000225914
LPAL2	160453428	160511124			ENSG00000213071
AL356135.1	61585946	61587035			ENSG00000279892
AL139333.1	83072973	83073135			ENSG00000281446
RPL23AP46	132997551	132998040			ENSG00000213122
LINC00326	133088080	133106578			ENSG00000231023
MTCYBP4	133150568	133150816			ENSG00000220113
RP1-86C11.7	27122657	27123221			ENSG00000272468
HIST1H2BJ	27125897	27132750			ENSG00000124635
XXbac-BPG181M17.5	32937364	32953122			ENSG00000248993
RP11-15H7.2	139659928	139661513			ENSG00000205695
HIST1H2AG	27133042	27135291			ENSG00000196787
ATAT1	30626842	30646823			ENSG00000137343
RP11-325O24.5	127659424	127660338			ENSG00000260212
RPL5P18	127362513	127363403			ENSG00000220744
RP11-325O24.2	127659690	127660579			ENSG00000219699
HLA-DRB9	32459821	32473500			ENSG00000196301
RP11-184C23.4	63229087	63230110			ENSG00000218520
C6orf165	87408012	87511634			ENSG00000213204
NEPNP	117633706	117645087			ENSG00000218233
RP1-177A13.1	127416535	127416952			ENSG00000220522
NUS1	117675502	117710640			ENSG00000153989
RP3-403A15.1	127435636	127436189			ENSG00000220694
LYPLA2P1	33365548	33366243			ENSG00000228285
RP3-382I10.3	87441165	87442146			ENSG00000218793
ST13P16	87444395	87445175			ENSG00000218698
DEFB112	50043575	50048651			ENSG00000180872
RPL35AP4	33389374	33389475			ENSG00000225644
MIR3144	120015179	120015257			ENSG00000265725
RP11-530A18.1	5065795	5066982			ENSG00000220685
LY6G5C	31676684	31684040			ENSG00000204428
PPP1R3G	5084581	5089487			ENSG00000219607
RP11-349P19.1	64377795	64412779			ENSG00000232120
GCNT1P4	63857441	63857769			ENSG00000219653
RP11-74E24.2	65302522	65304957			ENSG00000214558
RP1-81D8.5	160755398	160757518			ENSG00000276960
RP1-81D8.6	160773988	160783214			ENSG00000274903
OPN5	47781982	47832780			ENSG00000124818
GLO1	38675925	38703141			ENSG00000124767
C6orf10	32288526	32371912			ENSG00000204296
OR2J2	29173303	29174574			ENSG00000204700
RP11-59D5__B.3	63797189	63798031			ENSG00000218813
RP11-59D5__B.2	63806836	63822642			ENSG00000236345
RP11-307F22.2	64728837	64733837			ENSG00000243828
RP11-346C16.1	110700562	110700900			ENSG00000217041
HNRNPDP2	64631205	64631682			ENSG00000217811
HCG4P7	29887294	29888268			ENSG00000230521
CEP57L1	109095110	109163932			ENSG00000183137
HLA-T	29896654	29897786			ENSG00000231130
ADTRP	11712054	11807046			ENSG00000111863
RP1-28C20.1	145489630	145492092			ENSG00000217612
PHF3	63635820	63779336			ENSG00000118482
RP11-146I2.1	14661829	15090003			ENSG00000234261
C6orf165	87407983	87464465			ENSG00000272514
HLA-A	29941260	29945884			ENSG00000206503
GMDS	1623806	2245692			ENSG00000112699
RWDD1	116571367	116597675			ENSG00000111832
RP11-331O9.6	153668589	153668858			ENSG00000220514
MTND4P13	153668879	153669901			ENSG00000216713
RP1-182O16.2	5817421	5818366			ENSG00000216360
HMGB3P19	153938433	153938992			ENSG00000217085
OR2J4P	29181510	29182445			ENSG00000224233
SLC29A1	44219505	44234151			ENSG00000112759
OR2B7P	28046434	28047367			ENSG00000187763
RP3-503A6.2	38714051	38715217			ENSG00000236355
OR2H4P	29215236	29216179			ENSG00000230598
RP1-135L22.1	21354411	21355296			ENSG00000227089
LINC00581	21486061	21511895			ENSG00000280989
RP11-204E9.1	21522476	21523772			ENSG00000231754
OR2B8P	28053228	28054165			ENSG00000182477
RP3-369A17.2	24750671	24751625			ENSG00000218806
RP3-369A17.4	24742302	24751921			ENSG00000224164
RP11-126M14.1	115358498	115358752			ENSG00000219619
RP11-282C5.1	115633542	115634191			ENSG00000228777
NRSN1	24126122	24154900			ENSG00000152954
RP11-140K17.2	34715613	34715940			ENSG00000186328
FAM184A	118959763	119149387			ENSG00000111879
RP3-375P9.2	34744176	34744673			ENSG00000217130
RP5-1077H22.2	905445	909006			ENSG00000276687
FGFR1OP	166999182	167052713			ENSG00000213066
RMND1	151404763	151452181	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11; COXPD11;;ENCEPHALONEUROMYOPATHY, INFANTILE, DUE TO MITOCHONDRIAL TRANSLATIONDEFECT	614922	ENSG00000155906
RP5-1077H22.1	958324	962272			ENSG00000278343
LTB	31580525	31582522			ENSG00000227507
GAPDHP42	69745871	69746851			ENSG00000219881
BTN3A1	26402237	26415216			ENSG00000026950
NPM1P37	69705287	69706160			ENSG00000219085
LMBRD1	69675802	69797111	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE;;METHYLMALONIC ACIDEMIA AND HOMOCYSTINURIA, cblF TYPE;;METHYLMALONIC ACIDURIA DUE TO VITAMIN B12-RELEASE DEFECT;;VITAMIN B12 LYSOSOMAL RELEASE DEFECT;;COBALAMIN, DEFECT IN LYSOSOMAL RELEASE OF;;VI /.../B12 STORAGE DISEASE;;COBALAMIN F DISEASE; cblF	277380	ENSG00000168216
RP5-856G1.1	1026494	1027225			ENSG00000270937
RP5-856G1.2	1079929	1104946			ENSG00000176515
RP3-398G3.5	152402398	152404966			ENSG00000226193
COL12A1	75084326	75206051			ENSG00000111799
GUSBP4	57919784	57930291			ENSG00000239650
OR2G1P	29229227	29230157			ENSG00000213911
XXbac-BPG308J9.3	29223973	29290440			ENSG00000232505
OR2U2P	29268462	29269421			ENSG00000242524
OR2U1P	29262703	29264079			ENSG00000204697
IFNGR1	137197484	137219449	IMMUNODEFICIENCY 27B; IMD27B;;IMMUNODEFICIENCY 27B, MYCOBACTERIOSIS, AUTOSOMAL DOMINANT;;IFNGR1 DEFICIENCY, AUTOSOMAL DOMINANT	615978	ENSG00000027697
IFNGR1	137197484	137219449	HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO	600263	ENSG00000027697
IFNGR1	137197484	137219449	IMMUNODEFICIENCY 27A; IMD27A;;IMMUNODEFICIENCY 27A, MYCOBACTERIOSIS, AUTOSOMAL RECESSIVE;;IFNGR1 DEFICIENCY, AUTOSOMAL RECESSIVE	209950	ENSG00000027697
TRERF1	42224931	42452051			ENSG00000124496
RP3-364H10.1	99082449	99082761			ENSG00000271042
RP1-190J20.2	15102946	15104130			ENSG00000216754
RP11-560J1.2	15243923	15245000			ENSG00000271888
SLC35F1	117907526	118317676			ENSG00000196376
BDH2P1	99174744	99175479			ENSG00000232699
CDSN	31115090	31120446			ENSG00000204539
PSORS1C1	31114750	31140092			ENSG00000204540
ESR1	151656691	152129619	ESTROGEN RESISTANCE; ESTRR;;ESTROGEN INSENSITIVITY	615363	ENSG00000091831
OR1F12	28073316	28074233			ENSG00000220721
POM121L14P	57937458	57939015			ENSG00000218189
HSPA8P15	151411259	151413945			ENSG00000219395
ZNF259P1	108782126	108787053			ENSG00000219565
RP3-354J5.3	108817680	108817926			ENSG00000231559
PSORS1C2	31137536	31139350			ENSG00000204538
GSTA1	52791664	52803910			ENSG00000243955
FAXC	99271169	99350062			ENSG00000146267
CTA-14H9.5	26527063	26527404			ENSG00000261353
LY6G6C	31718648	31721845			ENSG00000204421
RP1-179N16.6	36146698	36197205			ENSG00000246982
XXbac-BPG118E17.10	30961403	30962396			ENSG00000275906
CENPW	126340174	126348875			ENSG00000203760
RP11-14J16.1	18304854	18305045			ENSG00000278102
ZUFSP	116635618	116668794			ENSG00000153975
RP11-528A10.2	18363417	18365423			ENSG00000217414
RP1-137F1.3	39353747	39354172			ENSG00000218986
HMGCLL1	55434369	55579214			ENSG00000146151
C6orf25	31718594	31726714			ENSG00000204420
KIF6	39329990	39725405			ENSG00000164627
ZNF165	28080975	28089563			ENSG00000197279
RP1-313I6.12	28078792	28081130			ENSG00000272009
RP11-528A10.1	18366736	18368644			ENSG00000218976
LGSN	63275951	63319977			ENSG00000146166
RP3-331H24.7	71373253	71375387			ENSG00000279312
RP11-154D6.2	71251758	71252988			ENSG00000276127
IL22RA2	137143820	137173648			ENSG00000164485
LINC00472	71344344	71420769			ENSG00000233237
TPI1P3	116038756	116039495			ENSG00000186743
MUC21	30983718	30989903			ENSG00000204544
CAPN11	44158811	44184402			ENSG00000137225
RP11-506E9.3	53125644	53126146			ENSG00000261745
C6orf226	42890265	42890816			ENSG00000221821
DPCR1	30940972	30954221			ENSG00000168631
GCM1	53126964	53148829			ENSG00000137270
MUC22	31010474	31035402			ENSG00000261272
RP3-331H24.4	71328942	71329806			ENSG00000230597
RP3-331H24.6	71386852	71390829			ENSG00000279289
RP3-509L4.3	118501430	118502906			ENSG00000169075
PTCRA	42915989	42925835			ENSG00000171611
HCG21	30945979	30954862			ENSG00000233529
RP1-90J20.14	3033183	3033288			ENSG00000274855
CEP85L	118460772	118710075			ENSG00000111860
RP11-154D6.1	71221457	71328228			ENSG00000232295
NACAP7	89422099	89423048			ENSG00000218965
COX6A1P3	120781220	120781512			ENSG00000216710
FAM136BP	3045384	3045800			ENSG00000232654
CCR6	167111807	167139696			ENSG00000112486
RP1-137D17.1	169369998	169388385			ENSG00000226194
RP1-137D17.2	169426420	169427069			ENSG00000272848
SERPINB8P1	3048835	3049211			ENSG00000217707
RP1-40E16.2	3055890	3056761			ENSG00000229282
RP11-517H2.6	166999405	167139141			ENSG00000272980
BRPF3	36196744	36232790			ENSG00000096070
KHDC3L	73362677	73364171	HYDATIDIFORM MOLE, RECURRENT, 2; HYDM2;;HYDATIDIFORM MOLE, COMPLETE	614293	ENSG00000203908
MDC1-AS1	30703067	30713184			ENSG00000224328
MDC1	30699807	30717889			ENSG00000137337
VIP	152750798	152759765			ENSG00000146469
RPS27P15	73618346	73618597			ENSG00000218459
MCM3	52264009	52284881			ENSG00000112118
SLC17A5	73593379	73654155	SALLA DISEASE; SD;;SIALURIA, FINNISH TYPE	604369	ENSG00000119899
SLC17A5	73593379	73654155	INFANTILE SIALIC ACID STORAGE DISEASE; ISSD;;SIALURIA, INFANTILE FORM;;N-ACETYLNEURAMINIC ACID STORAGE DISEASE;;NANA STORAGE DISEASE; NSD	269920	ENSG00000119899
BRD2	32968660	32981505			ENSG00000204256
C4A	31982024	32002681	COMPLEMENT COMPONENT 4A DEFICIENCY; C4AD;;C4A DEFICIENCY	614380	ENSG00000244731
C4A	31982024	32002681	BLOOD GROUP, CHIDO/RODGERS SYSTEM;;CHIDO/RODGERS BLOOD GROUP SYSTEM	614374	ENSG00000244731
C4A	31982024	32002681	SYSTEMIC LUPUS ERYTHEMATOSUS; SLEEXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED;;EXCESS LMW-DNA, INCLUDED	152700	ENSG00000244731
C4A	31982024	32002681	COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF	120790	ENSG00000244731
GRM4	34018645	34155622			ENSG00000124493
RP11-135M8__A.1	72522641	72523238			ENSG00000217483
RP3-474G15.1	72598451	72599634			ENSG00000181514
HCG22	31053450	31059890			ENSG00000228789
RP1-287H17.1	134706060	134707349			ENSG00000236389
RP3-443C4.2	151813276	151814179			ENSG00000233823
RP3-406P24.5	3982673	3984130			ENSG00000279926
HIST1H4I	27138588	27139881			ENSG00000276180
TPMT	18128311	18155074	THIOPURINE S-METHYLTRANSFERASE DEFICIENCY;;TPMT DEFICIENCY;;THIOPURINES, POOR METABOLISM OF	610460	ENSG00000137364
SYNE1-AS1	152380546	152381564			ENSG00000234577
RP11-64I5.1	93811825	93813036			ENSG00000280451
GUCA1A	42155406	42180056	CONE DYSTROPHY 3; COD3;;RETINAL CONE DYSTROPHYCONE-ROD DYSTROPHY 14, INCLUDED; CORD14, INCLUDED	602093	ENSG00000048545
SPDEF	34537802	34556333			ENSG00000124664
HIST1H2BK	27146418	27146798			ENSG00000197903
ZBED9	28571630	28616212			ENSG00000232040
SOX4	21592769	21598619			ENSG00000124766
SNAP91	83552880	83709691			ENSG00000065609
RP5-1186N24.3	28587378	28591747			ENSG00000246350
RPS6P7	77496119	77496671			ENSG00000219253
XXbac-BPG249D20.9	30516266	30519217			ENSG00000235781
CD109	73695785	73828316			ENSG00000156535
AL022393.7	28176188	28176674			ENSG00000216901
ZNF192P2	28188050	28189432			ENSG00000218016
MTFR2	136231024	136250335			ENSG00000146410
ANKS1A	34889265	35091413			ENSG00000064999
RP3-470B24.5	167975924	167979776			ENSG00000235994
MEI4	77690658	77926974			ENSG00000269964
RP3-390M24.1	78604467	78606036			ENSG00000230309
PLN	118548298	118560730	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 18; CMH18	613874	ENSG00000198523
PLN	118548298	118560730	CARDIOMYOPATHY, DILATED, 1P; CMD1P	609909	ENSG00000198523
RP11-173D14.3	78809715	78813303			ENSG00000229495
TOB2P1	28217643	28218634			ENSG00000176933
HIST1H2AH	27147129	27147515			ENSG00000274997
GCNT6	10633762	10634695			ENSG00000205318
PAIP1P1	30186798	30188614			ENSG00000233892
BVES	105096822	105137174			ENSG00000112276
TRIM26	30184455	30213427			ENSG00000234127
RP11-209A2.1	27211244	27211913			ENSG00000174572
SSXP10	118589070	118589634			ENSG00000217330
OSTCP1	158841117	158857632			ENSG00000243775
RP11-373N24.2	28633381	28633594			ENSG00000271440
LINC00533	28648286	28649066			ENSG00000235570
RP3-380B8.4	5851506	5870220			ENSG00000233064
RP11-235G24.2	160905770	160913638			ENSG00000220913
RP11-235G24.1	160872888	160918649			ENSG00000224371
HBS1L	134960378	135103056			ENSG00000112339
U91328.2	26043989	26044357			ENSG00000234816
HIST1H2BC	26114873	26123926			ENSG00000180596
CUTA	33416442	33418317			ENSG00000112514
RPSAP2	28732017	28732904			ENSG00000237425
HIST1H4C	26103876	26104310			ENSG00000197061
HIST1H1T	26107419	26108136			ENSG00000187475
HIST1H3C	26045411	26045821			ENSG00000278272
FRK	115931149	116060758			ENSG00000111816
HIST1H2AC	26124145	26139116			ENSG00000180573
HIST1H2BB	26043227	26123904			ENSG00000276410
GAPDHP63	79953005	79954011			ENSG00000218582
RPL35AP18	79964215	79964519			ENSG00000220311
POPDC3	105158280	105179995			ENSG00000132429
RP3-337H4.8	43588230	43591362			ENSG00000203362
PEX7	136822564	136913937	PEROXISOME BIOGENESIS DISORDER 9B; PBD9B;;REFSUM DISEASE, ADULT, 2;;PEROXISOME BIOGENESIS DISORDER, PEX7-RELATED, ATYPICALPEROXISOME BIOGENESIS DISORDER, COMPLEMENTATION GROUP 11, INCLUDED;CG11, INCLUDED;;PEROXISOME BIOGENESIS DISORDER, COMPLEMENTAT /.../OUP R, INCLUDED;CGR, INCLUDED	614879	ENSG00000112357
PEX7	136822564	136913937	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 1; RCDP1;;PEROXISOME BIOGENESIS DISORDER 9; PBD9;;CHONDRODYSPLASIA PUNCTATA, RHIZOMELIC FORM; CDPR;;CHONDRODYSTROPHIA CALCIFICANS PUNCTATA	215100	ENSG00000112357
POLH	43576150	43615660	XERODERMA PIGMENTOSUM, VARIANT TYPE; XPV;;XERODERMA PIGMENTOSUM WITH NORMAL DNA REPAIR RATES;;PHOTOSENSITIVITY WITH DEFECTIVE DNA SYNTHESIS	278750	ENSG00000170734
RP1-139D8.6	42155426	42163439			ENSG00000214732
RP1-281E18.1	48701491	48701872			ENSG00000278736
TMEM183AP1	29577459	29577748			ENSG00000227609
OR2H2	29587455	29589038			ENSG00000204657
RP11-506B6.3	112355841	112356714			ENSG00000219773
KIF25-AS1	167992822	167997077			ENSG00000229921
MEP1A	46793390	46839782			ENSG00000112818
SAMD3	130144315	130365425			ENSG00000164483
UBD	29555515	29559925			ENSG00000213886
HCG25	33249534	33254989			ENSG00000232940
RP1-182D15.2	169809318	169810102			ENSG00000236173
GTF2H4	30908184	30914106			ENSG00000213780
PKMP5	5972412	5974012			ENSG00000215057
CICP18	142272	145083			ENSG00000217929
LINC00266-3	131910	144885			ENSG00000170590
LST1	31586124	31588909			ENSG00000204482
RP11-55K22.2	136900233	136901529			ENSG00000213109
ENPP5	46159187	46170971			ENSG00000112796
RP1-6P5.2	128639188	128639653			ENSG00000220110
RP11-174N3.4	35070871	35071049			ENSG00000273870
HSPE1P11	35023522	35023831			ENSG00000187762
RPS18	33272010	33276510			ENSG00000231500
MMS22L	97142161	97283217			ENSG00000146263
RP11-302L19.1	170162517	170163027			ENSG00000232197
RP1-139G21.4	25885419	25885751			ENSG00000277410
CLIC1	31730581	31739763			ENSG00000213719
RPF2	110982015	111028263			ENSG00000197498
ZBTB22	33314406	33317942			ENSG00000236104
KIF25	167996241	168045089			ENSG00000125337
TTBK1	43243680	43288259			ENSG00000146216
KRT18P65	112361437	112362722			ENSG00000215807
MRPL30P1	57029521	57029988			ENSG00000276576
FEM1AP3	112365704	112367444			ENSG00000217770
FGFR3P1	31377419	31378019			ENSG00000230994
ZDHHC20P2	31380411	31380839			ENSG00000223702
HLA-S	31382074	31382288			ENSG00000225851
AKAP7	131135666	131283535			ENSG00000118507
XXbac-BPG181B23.7	31394289	31395495			ENSG00000272221
SNRPEP6	148567378	148567654			ENSG00000217824
RP11-461H3.2	148647707	148648597			ENSG00000231368
NOP56P1	28783633	28784004			ENSG00000235559
XXbac-BPG308K3.5	28837869	28839006			ENSG00000225173
